PID,Environment,Condition,Phase,Trial,Target.Distance,Distance.Travelled,prop
1,VR,2,0,1,2,2.098196238,1.049098119
1,VR,2,0,2,4,4.110446466,1.027611617
1,VR,2,0,3,2,2.429439612,1.214719806
1,VR,2,0,4,2,2.205178207,1.102589104
1,VR,2,0,5,3,3.574788297,1.191596099
1,VR,2,0,6,2,2.435932986,1.217966493
1,VR,2,0,7,4,4.200044717,1.050011179
1,VR,2,0,8,4,4.046019871,1.011504968
1,VR,2,0,9,4,4.064238241,1.01605956
1,VR,2,0,10,4,4.026354221,1.006588555
1,VR,2,0,11,2,2.1413638,1.0706819
1,VR,2,0,12,3,2.961206026,0.987068675
1,VR,2,0,13,3,2.976504093,0.992168031
1,VR,2,0,14,3,2.926938625,0.975646208
1,VR,2,0,15,3,2.653680821,0.884560274
1,VR,2,2,17,3,1.788024926,0.596008309
1,VR,2,2,19,3,2.019285323,0.673095108
1,VR,2,2,21,2,1.406546416,0.703273208
1,VR,2,2,23,4,3.143353562,0.78583839
1,VR,2,2,25,4,3.158735387,0.789683847
1,VR,2,2,27,4,3.098949108,0.774737277
1,VR,2,2,29,4,3.016896278,0.75422407
1,VR,2,2,31,2,1.882436661,0.94121833
1,VR,2,2,33,2,1.860685223,0.930342611
1,VR,2,2,35,3,2.71541411,0.905138037
1,VR,2,2,37,3,2.519760448,0.839920149
1,VR,2,2,39,3,2.213105091,0.737701697
1,VR,2,2,41,2,2.112852291,1.056426145
1,VR,2,2,43,3,2.120534755,0.706844918
1,VR,2,2,45,2,1.857938332,0.928969166
2,VR,1,0,1,4,4.041468369,1.010367092
2,VR,1,0,2,4,3.867663303,0.966915826
2,VR,1,0,3,2,1.53251832,0.76625916
2,VR,1,0,4,4,3.892559979,0.973139995
2,VR,1,0,5,3,2.894729614,0.964909871
2,VR,1,0,6,2,1.756655957,0.878327978
2,VR,1,0,7,3,3.132914267,1.044304756
2,VR,1,0,8,2,1.772071066,0.886035533
2,VR,1,0,9,2,1.881415369,0.940707685
2,VR,1,0,10,4,3.827722961,0.95693074
2,VR,1,0,11,3,2.823847191,0.941282397
2,VR,1,0,12,2,1.44397523,0.721987615
2,VR,1,0,13,4,3.57300847,0.893252117
2,VR,1,0,14,3,2.617709008,0.872569669
2,VR,1,0,15,3,2.402085073,0.800695024
2,VR,1,2,17,3,2.901210649,0.967070216
