PID,Environment,Condition,Phase,Trial,Target_Distance,Distance_Travelled,prop
1,VR,1,0,1,2,1.708833856,0.854416928
1,VR,1,0,2,2,2.013053442,1.006526721
1,VR,1,0,3,3,2.967893167,0.989297722
1,VR,1,0,4,2,1.951899635,0.975949818
1,VR,1,0,5,2,1.841375958,0.920687979
1,VR,1,0,6,4,4.441018343,1.110254586
1,VR,1,0,7,2,1.85375574,0.92687787
1,VR,1,0,8,4,4.45052269,1.112630673
1,VR,1,0,9,3,3.163727734,1.054575911
1,VR,1,0,10,3,2.965674048,0.988558016
1,VR,1,0,11,4,4.440962171,1.110240543
1,VR,1,0,12,3,3.001338635,1.000446212
1,VR,1,0,13,4,4.365852309,1.091463077
1,VR,1,0,14,4,4.329841507,1.082460377
1,VR,1,0,15,3,2.974678093,0.991559364
1,VR,1,2,31,2,2.348984632,1.174492316
1,VR,1,2,32,2,2.32577969,1.162889845
1,VR,1,2,33,2,2.364551724,1.182275862
1,VR,1,2,34,4,4.338368018,1.084592005
1,VR,1,2,35,4,4.365986072,1.091496518
1,VR,1,2,36,2,2.050416504,1.025208252
1,VR,1,2,37,2,2.106493942,1.053246971
1,VR,1,2,38,4,4.258533245,1.064633311
1,VR,1,2,39,3,3.057278187,1.019092729
1,VR,1,2,40,4,4.245880598,1.06147015
1,VR,1,2,41,3,2.81976543,0.93992181
1,VR,1,2,42,3,2.992229772,0.997409924
1,VR,1,2,43,3,3.06272616,1.02090872
1,VR,1,2,44,3,2.976691747,0.992230582
1,VR,1,2,45,4,4.306996569,1.076749142
2,VR,1,0,1,2,2.230813734,1.115406867
2,VR,1,0,2,2,2.58286404,1.29143202
2,VR,1,0,3,3,3.691261473,1.230420491
2,VR,1,0,4,4,4.690834901,1.172708725
2,VR,1,0,5,3,3.614526799,1.204842266
2,VR,1,0,6,2,2.507627752,1.253813876
2,VR,1,0,7,3,3.60114578,1.200381927
2,VR,1,0,8,4,4.865989501,1.216497375
2,VR,1,0,9,4,4.762031073,1.190507768
2,VR,1,0,10,4,4.863147355,1.215786839
2,VR,1,0,12,3,3.569523323,1.189841108
2,VR,1,0,13,2,2.31338017,1.156690085
2,VR,1,0,14,3,3.431161938,1.143720646
2,VR,1,0,15,2,2.234845331,1.117422666
2,VR,1,2,31,3,3.629264204,1.209754735
2,VR,1,2,32,3,3.506753685,1.168917895
2,VR,1,2,33,3,3.525995915,1.175331972
2,VR,1,2,34,2,2.390814575,1.195407288
2,VR,1,2,35,2,2.508486944,1.254243472
2,VR,1,2,36,4,4.978410612,1.244602653
2,VR,1,2,37,4,4.832037058,1.208009265
2,VR,1,2,38,3,3.51300344,1.171001147
2,VR,1,2,39,3,3.487900947,1.162633649
2,VR,1,2,40,4,4.901893751,1.225473438
2,VR,1,2,41,4,4.901807763,1.225451941
2,VR,1,2,42,4,4.768164307,1.192041077
2,VR,1,2,43,2,2.388784195,1.194392098
2,VR,1,2,44,2,2.253017937,1.126508969
2,VR,1,2,45,2,2.365643267,1.182821634
3,VR,1,0,1,2,1.988290287,0.994145144
3,VR,1,0,2,4,4.557503593,1.139375898
3,VR,1,0,3,4,4.582898744,1.145724686
3,VR,1,0,4,3,3.253205813,1.084401938
3,VR,1,0,5,4,4.659995161,1.16499879
3,VR,1,0,6,2,2.067168199,1.0335841
3,VR,1,0,7,3,3.230740723,1.076913574
3,VR,1,0,8,4,4.576144028,1.144036007
3,VR,1,0,9,3,2.825430001,0.94181
3,VR,1,0,10,2,2.157104149,1.078552075
3,VR,1,0,11,2,2.151303192,1.075651596
3,VR,1,0,12,2,2.160440903,1.080220452
3,VR,1,0,13,4,4.515167939,1.128791985
3,VR,1,0,14,3,2.802908407,0.934302802
3,VR,1,0,15,3,3.139853021,1.046617674
3,VR,1,2,31,2,2.362446393,1.181223197
3,VR,1,2,32,2,2.431537626,1.215768813
3,VR,1,2,33,3,3.418333038,1.139444346
3,VR,1,2,34,2,2.405285724,1.202642862
3,VR,1,2,35,4,4.779329885,1.194832471
3,VR,1,2,36,4,4.710795525,1.177698881
3,VR,1,2,37,3,3.287878211,1.095959404
3,VR,1,2,38,4,4.673792614,1.168448154
3,VR,1,2,39,4,4.710870684,1.177717671
3,VR,1,2,40,3,3.119088914,1.039696305
3,VR,1,2,41,4,4.671536415,1.167884104
3,VR,1,2,42,2,2.208876008,1.104438004
3,VR,1,2,43,3,3.163862385,1.054620795
3,VR,1,2,44,2,2.065491774,1.032745887
3,VR,1,2,45,3,3.114525253,1.038175084
4,VR,1,0,1,4,4.33485378,1.083713445
4,VR,1,0,2,4,4.095625971,1.023906493
4,VR,1,0,3,4,4.033950208,1.008487552
4,VR,1,0,4,3,3.164237837,1.054745946
4,VR,1,0,5,2,2.038837798,1.019418899
4,VR,1,0,6,3,3.131273489,1.04375783
4,VR,1,0,7,2,2.012040005,1.006020003
4,VR,1,0,8,2,2.024126068,1.012063034
4,VR,1,0,9,4,4.401884497,1.100471124
4,VR,1,0,10,3,3.226291547,1.075430516
4,VR,1,0,11,3,3.094633724,1.031544575
4,VR,1,0,12,3,3.183897495,1.061299165
4,VR,1,0,13,4,4.317484157,1.079371039
4,VR,1,0,14,2,2.104092733,1.052046367
4,VR,1,0,15,2,2.103469012,1.051734506
4,VR,1,2,31,2,2.541966477,1.270983239
4,VR,1,2,32,3,3.56722826,1.189076087
4,VR,1,2,33,3,3.373935864,1.124645288
4,VR,1,2,34,4,4.438523224,1.109630806
4,VR,1,2,35,4,4.481883094,1.120470774
4,VR,1,2,36,3,3.416841048,1.138947016
4,VR,1,2,37,2,2.19004858,1.09502429
4,VR,1,2,38,3,3.530917932,1.176972644
4,VR,1,2,39,2,2.26974656,1.13487328
4,VR,1,2,40,4,4.394211883,1.098552971
4,VR,1,2,41,3,3.4141985,1.138066167
4,VR,1,2,42,2,2.21781916,1.10890958
4,VR,1,2,43,4,4.393695294,1.098423824
4,VR,1,2,44,4,4.385898684,1.096474671
4,VR,1,2,45,2,2.244454652,1.122227326
5,VR,1,0,1,4,4.073122693,1.018280673
5,VR,1,0,2,2,1.902605489,0.951302745
5,VR,1,0,3,2,1.866669597,0.933334799
5,VR,1,0,4,2,2.093425166,1.046712583
5,VR,1,0,5,3,3.464520655,1.154840218
5,VR,1,0,6,4,4.590879338,1.147719835
5,VR,1,0,7,4,4.660134175,1.165033544
5,VR,1,0,8,3,3.41217263,1.137390877
5,VR,1,0,9,3,3.307623977,1.102541326
5,VR,1,0,10,2,2.344357391,1.172178696
5,VR,1,0,11,2,2.265355516,1.132677758
5,VR,1,0,12,4,4.78035986,1.195089965
5,VR,1,0,13,3,3.856035589,1.285345196
5,VR,1,0,14,3,3.565206296,1.188402099
5,VR,1,0,15,4,4.577237767,1.144309442
5,VR,1,2,31,4,5.263782493,1.315945623
5,VR,1,2,32,3,4.182749478,1.394249826
5,VR,1,2,33,2,2.572330711,1.286165356
5,VR,1,2,34,3,3.830964528,1.276988176
5,VR,1,2,35,3,3.745489736,1.248496579
5,VR,1,2,36,2,2.563773942,1.281886971
5,VR,1,2,37,4,4.738489912,1.184622478
5,VR,1,2,38,2,2.467536627,1.233768314
5,VR,1,2,39,2,2.534663631,1.267331816
5,VR,1,2,40,4,4.72777292,1.18194323
5,VR,1,2,41,4,4.784895496,1.196223874
5,VR,1,2,42,3,3.821545729,1.273848576
5,VR,1,2,43,2,2.735778497,1.367889249
5,VR,1,2,44,3,3.840966966,1.280322322
5,VR,1,2,45,4,4.904082731,1.226020683
6,VR,1,0,1,4,4.338495415,1.084623854
6,VR,1,0,2,2,1.965968794,0.982984397
6,VR,1,0,3,2,2.164774685,1.082387343
6,VR,1,0,4,3,3.312839552,1.104279851
6,VR,1,0,5,4,4.612499399,1.15312485
6,VR,1,0,6,4,4.69646893,1.174117233
6,VR,1,0,7,3,3.100020906,1.033340302
6,VR,1,0,8,2,2.012949037,1.006474519
6,VR,1,0,9,2,2.107197108,1.053598554
6,VR,1,0,10,2,2.16945814,1.08472907
6,VR,1,0,11,4,4.624276798,1.1560692
6,VR,1,0,12,4,4.750882887,1.187720722
6,VR,1,0,13,3,3.240644938,1.080214979
6,VR,1,0,14,3,3.114712951,1.03823765
6,VR,1,0,15,3,3.195601657,1.065200552
6,VR,1,2,31,3,3.342856519,1.114285506
6,VR,1,2,32,2,2.317211953,1.158605977
6,VR,1,2,33,3,3.203073116,1.067691039
6,VR,1,2,34,3,3.306282259,1.102094086
6,VR,1,2,35,4,4.736672136,1.184168034
6,VR,1,2,36,2,2.199543278,1.099771639
6,VR,1,2,37,3,3.259774083,1.086591361
6,VR,1,2,38,4,4.79965829,1.199914573
6,VR,1,2,39,4,4.647050551,1.161762638
6,VR,1,2,40,4,4.767250508,1.191812627
6,VR,1,2,41,4,4.737426731,1.184356683
6,VR,1,2,42,2,2.104841629,1.052420815
6,VR,1,2,43,3,3.146975754,1.048991918
6,VR,1,2,44,2,2.227074918,1.113537459
6,VR,1,2,45,2,2.121416062,1.060708031
7,VR,1,0,1,3,3.083327794,1.027775931
7,VR,1,0,2,3,3.225414805,1.075138268
7,VR,1,0,3,2,2.025101694,1.012550847
7,VR,1,0,4,3,3.330284851,1.11009495
7,VR,1,0,5,4,4.386024377,1.096506094
7,VR,1,0,6,4,4.359913775,1.089978444
7,VR,1,0,7,3,3.26226174,1.08742058
7,VR,1,0,8,4,4.277817977,1.069454494
7,VR,1,0,9,3,3.166060129,1.055353376
7,VR,1,0,10,2,2.164097733,1.082048867
7,VR,1,0,11,4,4.481169906,1.120292477
7,VR,1,0,12,2,2.164386094,1.082193047
7,VR,1,0,13,4,4.35694906,1.089237265
7,VR,1,0,14,2,2.151676889,1.075838445
7,VR,1,0,15,2,2.376061016,1.188030508
7,VR,1,2,31,4,4.617923479,1.15448087
7,VR,1,2,32,3,3.429833229,1.143277743
7,VR,1,2,34,2,2.474733398,1.237366699
7,VR,1,2,35,2,2.337492079,1.16874604
7,VR,1,2,36,3,3.417388628,1.139129543
7,VR,1,2,37,2,2.354251502,1.177125751
7,VR,1,2,38,4,4.672795589,1.168198897
7,VR,1,2,39,4,4.437105131,1.109276283
7,VR,1,2,40,2,2.414485246,1.207242623
7,VR,1,2,41,2,2.361685192,1.180842596
7,VR,1,2,42,4,4.553029186,1.138257297
7,VR,1,2,43,3,3.256666304,1.085555435
7,VR,1,2,44,3,3.268673253,1.089557751
7,VR,1,2,45,3,3.483825671,1.161275224
8,VR,1,0,1,3,3.499867912,1.166622637
8,VR,1,0,2,2,2.226287644,1.113143822
8,VR,1,0,3,2,2.481734539,1.24086727
8,VR,1,0,4,3,3.593826939,1.197942313
8,VR,1,0,5,2,2.402482387,1.201241194
8,VR,1,0,6,2,2.298969394,1.149484697
8,VR,1,0,7,2,2.154969343,1.077484672
8,VR,1,0,8,4,4.490523752,1.122630938
8,VR,1,0,9,4,4.466224542,1.116556136
8,VR,1,0,10,3,3.279717272,1.093239091
8,VR,1,0,11,4,4.483134031,1.120783508
8,VR,1,0,12,3,3.155730152,1.051910051
8,VR,1,0,13,3,3.365803105,1.121934368
8,VR,1,0,14,4,4.504398497,1.126099624
8,VR,1,0,15,4,4.432393256,1.108098314
8,VR,1,2,31,2,2.350078689,1.175039345
8,VR,1,2,32,4,4.524408384,1.131102096
8,VR,1,2,33,4,4.286892438,1.07172311
8,VR,1,2,34,2,2.195610014,1.097805007
8,VR,1,2,35,2,2.328020265,1.164010133
8,VR,1,2,36,4,4.586871886,1.146717972
8,VR,1,2,37,2,2.230444175,1.115222088
8,VR,1,2,38,2,2.300133142,1.150066571
